"Time (s),""Acceleration x (m/s^2)"",""Acceleration y (m/s^2)"",""Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)"""
"8.993530300E-2,-2.200805664E0,1.528823853E0,9.252136230E0,9.632386660E0"
"9.384155300E-2,-2.200805664E0,1.509674072E0,9.232986450E0,9.610967702E0"
"9.774780300E-2,-2.219970703E0,1.433059692E0,9.213821411E0,9.585219612E0"
"1.016540530E-1,-2.219970703E0,1.413909912E0,9.252136230E0,9.619222213E0"
"1.055908200E-1,-2.219970703E0,1.375595093E0,9.290435791E0,9.650529984E0"
"1.094970700E-1,-2.219970703E0,1.356445312E0,9.328750610E0,9.684720014E0"
"1.134033200E-1,-2.200805664E0,1.394744873E0,9.405364990E0,9.759597811E0"
"1.173095700E-1,-2.162506104E0,1.433059692E0,9.462829590E0,9.811994526E0"
"1.212158200E-1,-2.181655884E0,1.490524292E0,9.462829590E0,9.824786456E0"
"1.251220700E-1,-2.239120483E0,1.567138672E0,9.481979370E0,9.868004709E0"
"1.290283200E-1,-2.219970703E0,1.624588013E0,9.386215210E0,9.781032262E0"
"1.329345700E-1,-2.219970703E0,1.682052612E0,9.309600830E0,9.717316426E0"
"1.368408200E-1,-2.143356323E0,1.682052612E0,9.194671631E0,9.589852122E0"
"1.407775880E-1,-2.181655884E0,1.701202393E0,9.137207031E0,9.546845778E0"
"1.446838380E-1,-2.162506104E0,1.720367432E0,9.098907471E0,9.509269894E0"
"1.485900880E-1,-2.162506104E0,1.643753052E0,9.041442871E0,9.440659190E0"
"1.527404780E-1,-2.124191284E0,1.567138672E0,8.945678711E0,9.327018807E0"
"1.564025880E-1,-2.143356323E0,1.471359253E0,8.983978271E0,9.352579321E0"
"1.603088380E-1,-2.105041504E0,1.356445312E0,9.079757690E0,9.418765489E0"
"1.642456050E-1,-2.047576904E0,1.298980713E0,9.175521851E0,9.490528083E0"
"1.681518550E-1,-1.951812744E0,1.241516113E0,9.309600830E0,9.592684862E0"
"1.720581050E-1,-1.894348145E0,1.203216553E0,9.520278931E0,9.781206259E0"
"1.759643550E-1,-1.875198364E0,1.145751953E0,9.673507690E0,9.919973159E0"
"1.798706050E-1,-1.894348145E0,1.088287354E0,9.807586670E0,1.004796898E1"
"1.837768550E-1,-1.970962524E0,1.049987793E0,9.826736450E0,1.007729710E1"
"1.876831050E-1,-1.990127563E0,1.107452393E0,9.826736450E0,1.008721011E1"
"1.915893550E-1,-1.970962524E0,1.088287354E0,9.788436890E0,1.004403103E1"
"1.955261230E-1,-2.009277344E0,1.069137573E0,9.730972290E0,9.993601568E0"
"1.994323730E-1,-2.047576904E0,9.925231934E-1,9.654357910E0,9.918886033E0"
"2.033386230E-1,-1.990127563E0,9.733734131E-1,9.596893311E0,9.849285494E0"
"2.072448730E-1,-1.951812744E0,9.733734131E-1,9.501129150E0,9.748255430E0"
"2.111511230E-1,-1.970962524E0,1.011672974E0,9.367050171E0,9.625476839E0"
"2.150573730E-1,-1.951812744E0,1.049987793E0,9.252136230E0,9.513888384E0"
"2.189636230E-1,-1.932662964E0,1.126602173E0,9.156372070E0,9.425686610E0"
"2.229003900E-1,-1.951812744E0,1.164901733E0,9.060592651E0,9.341354732E0"
"2.268066400E-1,-1.951812744E0,1.184066772E0,9.003143311E0,9.288066353E0"
"2.307128900E-1,-1.951812744E0,1.184066772E0,8.964828491E0,9.250931682E0"
"2.346191400E-1,-1.951812744E0,1.164901733E0,8.888214111E0,9.174253055E0"
"2.385253900E-1,-1.951812744E0,1.107452393E0,8.869064331E0,9.148569609E0"
"2.424316400E-1,-1.970962524E0,1.049987793E0,8.849914551E0,9.127330124E0"
"2.463378900E-1,-2.009277344E0,1.011672974E0,8.830749512E0,9.112783032E0"
"2.502441400E-1,-2.066741943E0,1.030838013E0,8.888214111E0,9.183376250E0"
"2.541503900E-1,-2.105041504E0,1.011672974E0,8.983978271E0,9.282593793E0"
"2.580566400E-1,-2.124191284E0,1.030838013E0,9.098907471E0,9.400262378E0"
"2.619934080E-1,-2.181655884E0,1.030838013E0,9.194671631E0,9.506010509E0"
"2.658996580E-1,-2.200805664E0,9.925231934E-1,9.386215210E0,9.691732757E0"
"2.698059080E-1,-2.181655884E0,9.542236328E-1,9.539443970E0,9.832149124E0"
"2.737121580E-1,-2.085891724E0,9.542236328E-1,9.769287109E0,1.003496177E1"
"2.776184080E-1,-2.066741943E0,9.159088135E-1,9.884201050E0,1.013941525E1"
